transport	port	service
tcp	1689	firefox
udp	1689	firefox
tcp	1690	ng-umds
udp	1690	ng-umds
tcp	1691	empire-empuma
udp	1691	empire-empuma
tcp	1692	sstsys-lm
udp	1692	sstsys-lm
tcp	1693	rrirtr
udp	1693	rrirtr
tcp	1694	rrimwm
udp	1694	rrimwm
tcp	1695	rrilwm
udp	1695	rrilwm
tcp	1696	rrifmm
udp	1696	rrifmm
tcp	1697	rrisat
udp	1697	rrisat
tcp	1698	rsvp-encap-1
udp	1698	rsvp-encap-1
tcp	1699	rsvp-encap-2
udp	1699	rsvp-encap-2
tcp	1700	mps-raft
udp	1700	mps-raft
tcp	1701	l2f
udp	1701	l2f
tcp	1701	l2tp
udp	1701	l2tp
tcp	1702	deskshare
udp	1702	deskshare
tcp	1703	hb-engine
udp	1703	hb-engine
tcp	1704	bcs-broker
udp	1704	bcs-broker
tcp	1705	slingshot
udp	1705	slingshot
tcp	1706	jetform
udp	1706	jetform
tcp	1707	vdmplay
udp	1707	vdmplay
tcp	1708	gat-lmd
udp	1708	gat-lmd
tcp	1709	centra
udp	1709	centra
tcp	1710	impera
udp	1710	impera
tcp	1711	pptconference
udp	1711	pptconference
tcp	1712	registrar
udp	1712	registrar
tcp	1713	conferencetalk
udp	1713	conferencetalk
tcp	1714	sesi-lm
udp	1714	sesi-lm
tcp	1715	houdini-lm
udp	1715	houdini-lm
tcp	1716	xmsg
udp	1716	xmsg
tcp	1717	fj-hdnet
udp	1717	fj-hdnet
tcp	1718	h323gatedisc
udp	1718	h323gatedisc
tcp	1719	h323gatestat
udp	1719	h323gatestat
tcp	1720	h323hostcall
udp	1720	h323hostcall
tcp	1721	caicci
udp	1721	caicci
tcp	1722	hks-lm
udp	1722	hks-lm
tcp	1723	pptp
udp	1723	pptp
tcp	1724	csbphonemaster
udp	1724	csbphonemaster
tcp	1725	iden-ralp
udp	1725	iden-ralp
tcp	1726	iberiagames
udp	1726	iberiagames
tcp	1727	winddx
udp	1727	winddx
tcp	1728	telindus
udp	1728	telindus
tcp	1729	citynl
udp	1729	citynl
tcp	1730	roketz
udp	1730	roketz
tcp	1731	msiccp
udp	1731	msiccp
tcp	1732	proxim
udp	1732	proxim
tcp	1733	siipat
udp	1733	siipat
tcp	1734	cambertx-lm
udp	1734	cambertx-lm
tcp	1735	privatechat
udp	1735	privatechat
tcp	1736	street-stream
udp	1736	street-stream
tcp	1737	ultimad
udp	1737	ultimad
tcp	1738	gamegen1
udp	1738	gamegen1
tcp	1739	webaccess
udp	1739	webaccess
tcp	1740	encore
udp	1740	encore
tcp	1741	cisco-net-mgmt
udp	1741	cisco-net-mgmt
tcp	1742	3Com-nsd
udp	1742	3Com-nsd
tcp	1743	cinegrfx-lm
udp	1743	cinegrfx-lm
tcp	1744	ncpm-ft
udp	1744	ncpm-ft
tcp	1745	remote-winsock
udp	1745	remote-winsock
tcp	1746	ftrapid-1
udp	1746	ftrapid-1
tcp	1747	ftrapid-2
udp	1747	ftrapid-2
tcp	1748	oracle-em1
udp	1748	oracle-em1
tcp	1749	aspen-services
udp	1749	aspen-services
tcp	1750	sslp
udp	1750	sslp
tcp	1751	swiftnet
udp	1751	swiftnet
tcp	1752	lofr-lm
udp	1752	lofr-lm
tcp	1753	predatar-comms
tcp	1754	oracle-em2
udp	1754	oracle-em2
tcp	1755	ms-streaming
udp	1755	ms-streaming
tcp	1756	capfast-lmd
udp	1756	capfast-lmd
tcp	1757	cnhrp
udp	1757	cnhrp
tcp	1758	tftp-mcast
udp	1758	tftp-mcast
tcp	1759	spss-lm
udp	1759	spss-lm
tcp	1760	www-ldap-gw
udp	1760	www-ldap-gw
tcp	1761	cft-0
udp	1761	cft-0
tcp	1762	cft-1
udp	1762	cft-1
tcp	1763	cft-2
udp	1763	cft-2
tcp	1764	cft-3
udp	1764	cft-3
tcp	1765	cft-4
udp	1765	cft-4
tcp	1766	cft-5
udp	1766	cft-5
tcp	1767	cft-6
udp	1767	cft-6
tcp	1768	cft-7
udp	1768	cft-7
tcp	1769	bmc-net-adm
udp	1769	bmc-net-adm
tcp	1770	bmc-net-svc
udp	1770	bmc-net-svc
tcp	1771	vaultbase
udp	1771	vaultbase
tcp	1772	essweb-gw
udp	1772	essweb-gw
tcp	1773	kmscontrol
udp	1773	kmscontrol
tcp	1774	global-dtserv
udp	1774	global-dtserv
tcp	1775	vdab
tcp	1776	femis
udp	1776	femis
tcp	1777	powerguardian
udp	1777	powerguardian
tcp	1778	prodigy-intrnet
udp	1778	prodigy-intrnet
tcp	1779	pharmasoft
udp	1779	pharmasoft
tcp	1780	dpkeyserv
udp	1780	dpkeyserv
tcp	1781	answersoft-lm
udp	1781	answersoft-lm
tcp	1782	hp-hcip
udp	1782	hp-hcip
tcp	1784	finle-lm
udp	1784	finle-lm
tcp	1785	windlm
udp	1785	windlm
tcp	1786	funk-logger
udp	1786	funk-logger
tcp	1787	funk-license
udp	1787	funk-license
tcp	1788	psmond
udp	1788	psmond
tcp	1789	hello
udp	1789	hello
tcp	1790	nmsp
udp	1790	nmsp
tcp	1791	ea1
udp	1791	ea1
tcp	1792	ibm-dt-2
udp	1792	ibm-dt-2
tcp	1793	rsc-robot
udp	1793	rsc-robot
tcp	1794	cera-bcm
udp	1794	cera-bcm
tcp	1795	dpi-proxy
udp	1795	dpi-proxy
tcp	1796	vocaltec-admin
udp	1796	vocaltec-admin
tcp	1797	uma
udp	1797	uma
tcp	1798	etp
udp	1798	etp
tcp	1799	netrisk
udp	1799	netrisk
tcp	1800	ansys-lm
udp	1800	ansys-lm
tcp	1801	msmq
udp	1801	msmq
tcp	1802	concomp1
udp	1802	concomp1
tcp	1803	hp-hcip-gwy
udp	1803	hp-hcip-gwy
tcp	1804	enl
udp	1804	enl
tcp	1805	enl-name
udp	1805	enl-name
tcp	1806	musiconline
udp	1806	musiconline
tcp	1807	fhsp
udp	1807	fhsp
tcp	1808	oracle-vp2
udp	1808	oracle-vp2
tcp	1809	oracle-vp1
udp	1809	oracle-vp1
tcp	1810	jerand-lm
udp	1810	jerand-lm
tcp	1811	scientia-sdb
udp	1811	scientia-sdb
tcp	1812	radius
udp	1812	radius
tcp	1813	radius-acct
udp	1813	radius-acct
tcp	1814	tdp-suite
udp	1814	tdp-suite
tcp	1815	mmpft
udp	1815	mmpft
tcp	1816	harp
udp	1816	harp
tcp	1817	rkb-oscs
udp	1817	rkb-oscs
tcp	1818	etftp
udp	1818	etftp
tcp	1819	plato-lm
udp	1819	plato-lm
tcp	1820	mcagent
udp	1820	mcagent
tcp	1821	donnyworld
udp	1821	donnyworld
tcp	1822	es-elmd
udp	1822	es-elmd
tcp	1823	unisys-lm
udp	1823	unisys-lm
tcp	1824	metrics-pas
udp	1824	metrics-pas
tcp	1825	direcpc-video
udp	1825	direcpc-video
tcp	1826	ardt
udp	1826	ardt
tcp	1827	asi
udp	1827	asi
tcp	1828	itm-mcell-u
udp	1828	itm-mcell-u
tcp	1829	optika-emedia
udp	1829	optika-emedia
tcp	1830	net8-cman
udp	1830	net8-cman
tcp	1831	myrtle
udp	1831	myrtle
tcp	1832	tht-treasure
udp	1832	tht-treasure
tcp	1833	udpradio
udp	1833	udpradio
tcp	1834	ardusuni
udp	1834	ardusuni
tcp	1835	ardusmul
udp	1835	ardusmul
tcp	1836	ste-smsc
udp	1836	ste-smsc
tcp	1837	csoft1
udp	1837	csoft1
tcp	1838	talnet
udp	1838	talnet
tcp	1839	netopia-vo1
udp	1839	netopia-vo1
tcp	1840	netopia-vo2
udp	1840	netopia-vo2
tcp	1841	netopia-vo3
udp	1841	netopia-vo3
tcp	1842	netopia-vo4
udp	1842	netopia-vo4
tcp	1843	netopia-vo5
udp	1843	netopia-vo5
tcp	1844	direcpc-dll
udp	1844	direcpc-dll
tcp	1845	altalink
udp	1845	altalink
tcp	1846	tunstall-pnc
udp	1846	tunstall-pnc
tcp	1847	slp-notify
udp	1847	slp-notify
tcp	1848	fjdocdist
udp	1848	fjdocdist
tcp	1849	alpha-sms
udp	1849	alpha-sms
tcp	1850	gsi
udp	1850	gsi
tcp	1851	ctcd
udp	1851	ctcd
tcp	1852	virtual-time
udp	1852	virtual-time
tcp	1853	vids-avtp
udp	1853	vids-avtp
tcp	1854	buddy-draw
udp	1854	buddy-draw
tcp	1855	fiorano-rtrsvc
udp	1855	fiorano-rtrsvc
tcp	1856	fiorano-msgsvc
udp	1856	fiorano-msgsvc
tcp	1857	datacaptor
udp	1857	datacaptor
tcp	1858	privateark
udp	1858	privateark
tcp	1859	gammafetchsvr
udp	1859	gammafetchsvr
tcp	1860	sunscalar-svc
udp	1860	sunscalar-svc
tcp	1861	lecroy-vicp
udp	1861	lecroy-vicp
tcp	1862	mysql-cm-agent
udp	1862	mysql-cm-agent
tcp	1863	msnp
udp	1863	msnp
tcp	1864	paradym-31port
udp	1864	paradym-31port
tcp	1865	entp
udp	1865	entp
tcp	1866	swrmi
udp	1866	swrmi
tcp	1867	udrive
udp	1867	udrive
tcp	1868	viziblebrowser
udp	1868	viziblebrowser
tcp	1869	transact
udp	1869	transact
tcp	1870	sunscalar-dns
udp	1870	sunscalar-dns
tcp	1871	canocentral0
udp	1871	canocentral0
tcp	1872	canocentral1
udp	1872	canocentral1
tcp	1873	fjmpjps
udp	1873	fjmpjps
tcp	1874	fjswapsnp
udp	1874	fjswapsnp
tcp	1875	westell-stats
udp	1875	westell-stats
tcp	1876	ewcappsrv
udp	1876	ewcappsrv
tcp	1877	hp-webqosdb
udp	1877	hp-webqosdb
tcp	1878	drmsmc
udp	1878	drmsmc
tcp	1879	nettgain-nms
udp	1879	nettgain-nms
tcp	1880	vsat-control
udp	1880	vsat-control
tcp	1881	ibm-mqseries2
udp	1881	ibm-mqseries2
tcp	1882	ecsqdmn
udp	1882	ecsqdmn
tcp	1883	mqtt
udp	1883	mqtt
tcp	1884	idmaps
udp	1884	idmaps
tcp	1885	vrtstrapserver
udp	1885	vrtstrapserver
tcp	1886	leoip
udp	1886	leoip
tcp	1887	filex-lport
udp	1887	filex-lport
tcp	1888	ncconfig
udp	1888	ncconfig
tcp	1889	unify-adapter
udp	1889	unify-adapter
tcp	1890	wilkenlistener
udp	1890	wilkenlistener
tcp	1891	childkey-notif
udp	1891	childkey-notif
tcp	1892	childkey-ctrl
udp	1892	childkey-ctrl
tcp	1893	elad
udp	1893	elad
tcp	1894	o2server-port
udp	1894	o2server-port
tcp	1896	b-novative-ls
udp	1896	b-novative-ls
tcp	1897	metaagent
udp	1897	metaagent
tcp	1898	cymtec-port
udp	1898	cymtec-port
tcp	1899	mc2studios
udp	1899	mc2studios
tcp	1900	ssdp
udp	1900	ssdp
tcp	1901	fjicl-tep-a
udp	1901	fjicl-tep-a
tcp	1902	fjicl-tep-b
udp	1902	fjicl-tep-b
tcp	1903	linkname
udp	1903	linkname
tcp	1904	fjicl-tep-c
udp	1904	fjicl-tep-c
tcp	1905	sugp
udp	1905	sugp
tcp	1906	tpmd
udp	1906	tpmd
tcp	1907	intrastar
udp	1907	intrastar
tcp	1908	dawn
udp	1908	dawn
tcp	1909	global-wlink
udp	1909	global-wlink
tcp	1910	ultrabac
udp	1910	ultrabac
tcp	1911	mtp
udp	1911	mtp
tcp	1912	rhp-iibp
udp	1912	rhp-iibp
tcp	1913	armadp
udp	1913	armadp
tcp	1914	elm-momentum
udp	1914	elm-momentum
tcp	1915	facelink
udp	1915	facelink
tcp	1916	persona
udp	1916	persona
tcp	1917	noagent
udp	1917	noagent
tcp	1918	can-nds
udp	1918	can-nds
tcp	1919	can-dch
udp	1919	can-dch
tcp	1920	can-ferret
udp	1920	can-ferret
tcp	1921	noadmin
udp	1921	noadmin
tcp	1922	tapestry
udp	1922	tapestry
tcp	1923	spice
udp	1923	spice
tcp	1924	xiip
udp	1924	xiip
tcp	1925	discovery-port
udp	1925	discovery-port
tcp	1926	egs
udp	1926	egs
tcp	1927	videte-cipc
udp	1927	videte-cipc
tcp	1928	emsd-port
udp	1928	emsd-port
tcp	1929	bandwiz-system
udp	1929	bandwiz-system
tcp	1930	driveappserver
udp	1930	driveappserver
tcp	1931	amdsched
udp	1931	amdsched
tcp	1932	ctt-broker
udp	1932	ctt-broker
tcp	1933	xmapi
udp	1933	xmapi
tcp	1934	xaapi
udp	1934	xaapi
tcp	1935	macromedia-fcs
udp	1935	macromedia-fcs
tcp	1936	jetcmeserver
udp	1936	jetcmeserver
tcp	1937	jwserver
udp	1937	jwserver
tcp	1938	jwclient
udp	1938	jwclient
tcp	1939	jvserver
udp	1939	jvserver
tcp	1940	jvclient
udp	1940	jvclient
tcp	1941	dic-aida
udp	1941	dic-aida
tcp	1942	res
udp	1942	res
tcp	1943	beeyond-media
udp	1943	beeyond-media
tcp	1944	close-combat
udp	1944	close-combat
tcp	1945	dialogic-elmd
udp	1945	dialogic-elmd
tcp	1946	tekpls
udp	1946	tekpls
tcp	1947	sentinelsrm
udp	1947	sentinelsrm
tcp	1948	eye2eye
udp	1948	eye2eye
tcp	1949	ismaeasdaqlive
udp	1949	ismaeasdaqlive
tcp	1950	ismaeasdaqtest
udp	1950	ismaeasdaqtest
tcp	1951	bcs-lmserver
udp	1951	bcs-lmserver
tcp	1952	mpnjsc
udp	1952	mpnjsc
tcp	1953	rapidbase
udp	1953	rapidbase
tcp	1954	abr-api
udp	1954	abr-api
tcp	1955	abr-secure
udp	1955	abr-secure
tcp	1956	vrtl-vmf-ds
udp	1956	vrtl-vmf-ds
tcp	1957	unix-status
udp	1957	unix-status
tcp	1958	dxadmind
udp	1958	dxadmind
tcp	1959	simp-all
udp	1959	simp-all
tcp	1960	nasmanager
udp	1960	nasmanager
tcp	1961	bts-appserver
udp	1961	bts-appserver
tcp	1962	biap-mp
udp	1962	biap-mp
tcp	1963	webmachine
udp	1963	webmachine
tcp	1964	solid-e-engine
udp	1964	solid-e-engine
tcp	1965	tivoli-npm
udp	1965	tivoli-npm
tcp	1966	slush
udp	1966	slush
tcp	1967	sns-quote
udp	1967	sns-quote
tcp	1968	lipsinc
udp	1968	lipsinc
tcp	1969	lipsinc1
udp	1969	lipsinc1
tcp	1970	netop-rc
udp	1970	netop-rc
tcp	1971	netop-school
udp	1971	netop-school
tcp	1972	intersys-cache
udp	1972	intersys-cache
tcp	1973	dlsrap
udp	1973	dlsrap
tcp	1974	drp
udp	1974	drp
tcp	1975	tcoflashagent
udp	1975	tcoflashagent
tcp	1976	tcoregagent
udp	1976	tcoregagent
tcp	1977	tcoaddressbook
udp	1977	tcoaddressbook
tcp	1978	unisql
udp	1978	unisql
tcp	1979	unisql-java
udp	1979	unisql-java
tcp	1980	pearldoc-xact
udp	1980	pearldoc-xact
tcp	1981	p2pq
udp	1981	p2pq
tcp	1982	estamp
udp	1982	estamp
tcp	1983	lhtp
udp	1983	lhtp
tcp	1984	bb
udp	1984	bb
tcp	1985	hsrp
udp	1985	hsrp
tcp	1986	licensedaemon
udp	1986	licensedaemon
tcp	1987	tr-rsrb-p1
udp	1987	tr-rsrb-p1
tcp	1988	tr-rsrb-p2
udp	1988	tr-rsrb-p2
tcp	1989	tr-rsrb-p3
udp	1989	tr-rsrb-p3
tcp	1989	mshnet
udp	1989	mshnet
tcp	1990	stun-p1
udp	1990	stun-p1
tcp	1991	stun-p2
udp	1991	stun-p2
tcp	1992	stun-p3
udp	1992	stun-p3
tcp	1992	ipsendmsg
udp	1992	ipsendmsg
tcp	1993	snmp-tcp-port
udp	1993	snmp-tcp-port
tcp	1994	stun-port
udp	1994	stun-port
tcp	1995	perf-port
udp	1995	perf-port
tcp	1996	tr-rsrb-port
udp	1996	tr-rsrb-port
tcp	1997	gdp-port
udp	1997	gdp-port
tcp	1998	x25-svc-port
udp	1998	x25-svc-port
tcp	1999	tcp-id-port
udp	1999	tcp-id-port
tcp	2000	cisco-sccp
udp	2000	cisco-sccp
tcp	2001	dc
udp	2001	wizard
tcp	2002	globe
udp	2002	globe
tcp	2003	brutus
udp	2003	brutus
tcp	2004	mailbox
udp	2004	emce
tcp	2005	berknet
udp	2005	oracle
tcp	2006	invokator
udp	2006	raid-cd
tcp	2007	dectalk
udp	2007	raid-am
tcp	2008	conf
udp	2008	terminaldb
tcp	2009	news
udp	2009	whosockami
tcp	2010	search
udp	2010	pipe-server
udp	2010	pipe_server
tcp	2011	raid-cc
udp	2011	servserv
tcp	2012	ttyinfo
udp	2012	raid-ac
tcp	2013	raid-am
udp	2013	raid-cd
tcp	2014	troff
udp	2014	raid-sf
tcp	2015	cypress
udp	2015	raid-cs
tcp	2016	bootserver
udp	2016	bootserver
tcp	2017	cypress-stat
udp	2017	bootclient
tcp	2018	terminaldb
udp	2018	rellpack
tcp	2019	whosockami
udp	2019	about
tcp	2020	xinupageserver
udp	2020	xinupageserver
tcp	2021	servexec
udp	2021	xinuexpansion1
tcp	2022	down
udp	2022	xinuexpansion2
tcp	2023	xinuexpansion3
udp	2023	xinuexpansion3
tcp	2024	xinuexpansion4
udp	2024	xinuexpansion4
tcp	2025	ellpack
udp	2025	xribs
tcp	2026	scrabble
udp	2026	scrabble
tcp	2027	shadowserver
udp	2027	shadowserver
tcp	2028	submitserver
udp	2028	submitserver
tcp	2029	hsrpv6
udp	2029	hsrpv6
tcp	2030	device2
udp	2030	device2
tcp	2031	mobrien-chat
udp	2031	mobrien-chat
tcp	2032	blackboard
udp	2032	blackboard
tcp	2033	glogger
udp	2033	glogger
tcp	2034	scoremgr
udp	2034	scoremgr
tcp	2035	imsldoc
udp	2035	imsldoc
tcp	2036	e-dpnet
udp	2036	e-dpnet
tcp	2037	applus
udp	2037	applus
tcp	2038	objectmanager
udp	2038	objectmanager
tcp	2039	prizma
udp	2039	prizma
tcp	2040	lam
udp	2040	lam
tcp	2041	interbase
udp	2041	interbase
tcp	2042	isis
udp	2042	isis
tcp	2043	isis-bcast
udp	2043	isis-bcast
tcp	2044	rimsl
udp	2044	rimsl
tcp	2045	cdfunc
udp	2045	cdfunc
tcp	2046	sdfunc
udp	2046	sdfunc
tcp	2047	dls
udp	2047	dls
tcp	2048	dls-monitor
udp	2048	dls-monitor
tcp	2049	shilp
udp	2049	shilp
tcp	2049	nfs
udp	2049	nfs
tcp	2050	av-emb-config
udp	2050	av-emb-config
tcp	2051	epnsdp
udp	2051	epnsdp
tcp	2052	clearvisn
udp	2052	clearvisn
tcp	2053	lot105-ds-upd
udp	2053	lot105-ds-upd
tcp	2054	weblogin
udp	2054	weblogin
tcp	2055	iop
udp	2055	iop
tcp	2056	omnisky
udp	2056	omnisky
tcp	2057	rich-cp
udp	2057	rich-cp
tcp	2058	newwavesearch
udp	2058	newwavesearch
tcp	2059	bmc-messaging
udp	2059	bmc-messaging
tcp	2060	teleniumdaemon
udp	2060	teleniumdaemon
tcp	2061	netmount
udp	2061	netmount
tcp	2062	icg-swp
udp	2062	icg-swp
tcp	2063	icg-bridge
udp	2063	icg-bridge
tcp	2064	icg-iprelay
udp	2064	icg-iprelay
tcp	2065	dlsrpn
udp	2065	dlsrpn
tcp	2066	aura
udp	2066	aura
tcp	2067	dlswpn
udp	2067	dlswpn
tcp	2068	avauthsrvprtcl
udp	2068	avauthsrvprtcl
tcp	2069	event-port
udp	2069	event-port
tcp	2070	ah-esp-encap
udp	2070	ah-esp-encap
tcp	2071	acp-port
udp	2071	acp-port
tcp	2072	msync
udp	2072	msync
tcp	2073	gxs-data-port
udp	2073	gxs-data-port
tcp	2074	vrtl-vmf-sa
udp	2074	vrtl-vmf-sa
tcp	2075	newlixengine
udp	2075	newlixengine
tcp	2076	newlixconfig
udp	2076	newlixconfig
tcp	2077	tsrmagt
udp	2077	tsrmagt
tcp	2078	tpcsrvr
udp	2078	tpcsrvr
tcp	2079	idware-router
udp	2079	idware-router
tcp	2080	autodesk-nlm
udp	2080	autodesk-nlm
tcp	2081	kme-trap-port
udp	2081	kme-trap-port
tcp	2082	infowave
udp	2082	infowave
tcp	2083	radsec
udp	2083	radsec
tcp	2084	sunclustergeo
udp	2084	sunclustergeo
tcp	2085	ada-cip
udp	2085	ada-cip
tcp	2086	gnunet
udp	2086	gnunet
tcp	2087	eli
udp	2087	eli
tcp	2088	ip-blf
udp	2088	ip-blf
tcp	2089	sep
udp	2089	sep
tcp	2090	lrp
udp	2090	lrp
tcp	2091	prp
udp	2091	prp
tcp	2092	descent3
udp	2092	descent3
tcp	2093	nbx-cc
udp	2093	nbx-cc
tcp	2094	nbx-au
udp	2094	nbx-au
tcp	2095	nbx-ser
udp	2095	nbx-ser
tcp	2096	nbx-dir
udp	2096	nbx-dir
tcp	2097	jetformpreview
udp	2097	jetformpreview
tcp	2098	dialog-port
udp	2098	dialog-port
tcp	2099	h2250-annex-g
udp	2099	h2250-annex-g
tcp	2100	amiganetfs
udp	2100	amiganetfs
tcp	2101	rtcm-sc104
udp	2101	rtcm-sc104
tcp	2102	zephyr-srv
udp	2102	zephyr-srv
tcp	2103	zephyr-clt
udp	2103	zephyr-clt
tcp	2104	zephyr-hm
udp	2104	zephyr-hm
tcp	2105	minipay
udp	2105	minipay
tcp	2106	mzap
udp	2106	mzap
tcp	2107	bintec-admin
udp	2107	bintec-admin
tcp	2108	comcam
udp	2108	comcam
tcp	2109	ergolight
udp	2109	ergolight
tcp	2110	umsp
udp	2110	umsp
tcp	2111	dsatp
udp	2111	dsatp
tcp	2112	idonix-metanet
udp	2112	idonix-metanet
tcp	2113	hsl-storm
udp	2113	hsl-storm
tcp	2114	ariascribe
udp	2114	ariascribe
tcp	2115	kdm
udp	2115	kdm
tcp	2116	ccowcmr
udp	2116	ccowcmr
tcp	2117	mentaclient
udp	2117	mentaclient
tcp	2118	mentaserver
udp	2118	mentaserver
tcp	2119	gsigatekeeper
udp	2119	gsigatekeeper
tcp	2120	qencp
udp	2120	qencp
tcp	2121	scientia-ssdb
udp	2121	scientia-ssdb
tcp	2122	caupc-remote
udp	2122	caupc-remote
tcp	2123	gtp-control
udp	2123	gtp-control
tcp	2124	elatelink
udp	2124	elatelink
tcp	2125	lockstep
udp	2125	lockstep
tcp	2126	pktcable-cops
udp	2126	pktcable-cops
tcp	2127	index-pc-wb
udp	2127	index-pc-wb
tcp	2128	net-steward
udp	2128	net-steward
tcp	2129	cs-live
udp	2129	cs-live
tcp	2130	xds
udp	2130	xds
tcp	2131	avantageb2b
udp	2131	avantageb2b
tcp	2132	solera-epmap
udp	2132	solera-epmap
tcp	2133	zymed-zpp
udp	2133	zymed-zpp
tcp	2134	avenue
udp	2134	avenue
tcp	2135	gris
udp	2135	gris
tcp	2136	appworxsrv
udp	2136	appworxsrv
tcp	2137	connect
udp	2137	connect
tcp	2138	unbind-cluster
udp	2138	unbind-cluster
tcp	2139	ias-auth
udp	2139	ias-auth
tcp	2140	ias-reg
udp	2140	ias-reg
tcp	2141	ias-admind
udp	2141	ias-admind
tcp	2142	tdmoip
udp	2142	tdmoip
tcp	2143	lv-jc
udp	2143	lv-jc
tcp	2144	lv-ffx
udp	2144	lv-ffx
tcp	2145	lv-pici
udp	2145	lv-pici
tcp	2146	lv-not
udp	2146	lv-not
tcp	2147	lv-auth
udp	2147	lv-auth
tcp	2148	veritas-ucl
udp	2148	veritas-ucl
tcp	2149	acptsys
udp	2149	acptsys
tcp	2150	dynamic3d
udp	2150	dynamic3d
tcp	2151	docent
udp	2151	docent
tcp	2152	gtp-user
udp	2152	gtp-user
tcp	2153	ctlptc
udp	2153	ctlptc
tcp	2154	stdptc
udp	2154	stdptc
tcp	2155	brdptc
udp	2155	brdptc
tcp	2156	trp
udp	2156	trp
tcp	2157	xnds
udp	2157	xnds
tcp	2158	touchnetplus
udp	2158	touchnetplus
tcp	2159	gdbremote
udp	2159	gdbremote
tcp	2160	apc-2160
udp	2160	apc-2160
tcp	2161	apc-2161
udp	2161	apc-2161
tcp	2162	navisphere
udp	2162	navisphere
tcp	2163	navisphere-sec
udp	2163	navisphere-sec
tcp	2164	ddns-v3
udp	2164	ddns-v3
tcp	2165	x-bone-api
udp	2165	x-bone-api
tcp	2166	iwserver
udp	2166	iwserver
tcp	2167	raw-serial
udp	2167	raw-serial
tcp	2168	easy-soft-mux
udp	2168	easy-soft-mux
tcp	2169	brain
udp	2169	brain
tcp	2170	eyetv
udp	2170	eyetv
tcp	2171	msfw-storage
udp	2171	msfw-storage
tcp	2172	msfw-s-storage
udp	2172	msfw-s-storage
tcp	2173	msfw-replica
udp	2173	msfw-replica
tcp	2174	msfw-array
udp	2174	msfw-array
tcp	2175	airsync
udp	2175	airsync
tcp	2176	rapi
udp	2176	rapi
tcp	2177	qwave
udp	2177	qwave
tcp	2178	bitspeer
udp	2178	bitspeer
tcp	2179	vmrdp
udp	2179	vmrdp
tcp	2180	mc-gt-srv
udp	2180	mc-gt-srv
tcp	2181	eforward
udp	2181	eforward
tcp	2182	cgn-stat
udp	2182	cgn-stat
tcp	2183	cgn-config
udp	2183	cgn-config
tcp	2184	nvd
udp	2184	nvd
tcp	2185	onbase-dds
udp	2185	onbase-dds
tcp	2186	gtaua
udp	2186	gtaua
tcp	2187	ssmc
udp	2187	ssmd
tcp	2188	radware-rpm
tcp	2189	radware-rpm-s
tcp	2190	tivoconnect
udp	2190	tivoconnect
tcp	2191	tvbus
udp	2191	tvbus
tcp	2192	asdis
udp	2192	asdis
tcp	2193	drwcs
udp	2193	drwcs
tcp	2197	mnp-exchange
udp	2197	mnp-exchange
tcp	2198	onehome-remote
udp	2198	onehome-remote
tcp	2199	onehome-help
udp	2199	onehome-help
tcp	2200	ici
udp	2200	ici
tcp	2201	ats
udp	2201	ats
tcp	2202	imtc-map
udp	2202	imtc-map
tcp	2203	b2-runtime
udp	2203	b2-runtime
tcp	2204	b2-license
udp	2204	b2-license
tcp	2205	jps
udp	2205	jps
tcp	2206	hpocbus
udp	2206	hpocbus
tcp	2207	hpssd
udp	2207	hpssd
tcp	2208	hpiod
udp	2208	hpiod
tcp	2209	rimf-ps
udp	2209	rimf-ps
tcp	2210	noaaport
udp	2210	noaaport
tcp	2211	emwin
udp	2211	emwin
tcp	2212	leecoposserver
udp	2212	leecoposserver
tcp	2213	kali
udp	2213	kali
tcp	2214	rpi
udp	2214	rpi
tcp	2215	ipcore
udp	2215	ipcore
tcp	2216	vtu-comms
udp	2216	vtu-comms
tcp	2217	gotodevice
udp	2217	gotodevice
tcp	2218	bounzza
udp	2218	bounzza
tcp	2219	netiq-ncap
udp	2219	netiq-ncap
tcp	2220	netiq
udp	2220	netiq
tcp	2221	ethernet-ip-s
udp	2221	ethernet-ip-s
tcp	2222	EtherNet-IP-1
tcp	2222	EtherNet/IP-1
udp	2222	EtherNet-IP-1
udp	2222	EtherNet/IP-1
tcp	2223	rockwell-csp2
udp	2223	rockwell-csp2
tcp	2224	efi-mg
udp	2224	efi-mg
tcp	2225	rcip-itu
tcp	2226	di-drm
udp	2226	di-drm
tcp	2227	di-msg
udp	2227	di-msg
tcp	2228	ehome-ms
udp	2228	ehome-ms
tcp	2229	datalens
udp	2229	datalens
tcp	2230	queueadm
udp	2230	queueadm
tcp	2231	wimaxasncp
udp	2231	wimaxasncp
tcp	2232	ivs-video
udp	2232	ivs-video
tcp	2233	infocrypt
udp	2233	infocrypt
tcp	2234	directplay
udp	2234	directplay
tcp	2235	sercomm-wlink
udp	2235	sercomm-wlink
tcp	2236	nani
udp	2236	nani
tcp	2237	optech-port1-lm
udp	2237	optech-port1-lm
tcp	2238	aviva-sna
udp	2238	aviva-sna
tcp	2239	imagequery
udp	2239	imagequery
tcp	2240	recipe
udp	2240	recipe
tcp	2241	ivsd
udp	2241	ivsd
tcp	2242	foliocorp
udp	2242	foliocorp
tcp	2243	magicom
udp	2243	magicom
tcp	2244	nmsserver
udp	2244	nmsserver
tcp	2245	hao
udp	2245	hao
tcp	2246	pc-mta-addrmap
